RegionName,ParkName,ParkType,Year,TRV
Northeast  Region,Acadia NP,National Park,2024,"3,961,661"
Northeast  Region,Acadia NP,National Park,2023,"3,879,890"
Northeast  Region,Acadia NP,National Park,2022,"3,970,260"
Northeast  Region,Acadia NP,National Park,2021,"4,069,098"
Northeast  Region,Acadia NP,National Park,2020,"2,669,034"
Northeast  Region,Acadia NP,National Park,2019,"3,437,286"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2024,"28,157"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2023,"27,986"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2022,"29,241"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2021,"20,777"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2020,"71,991"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2019,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2024,"4,079,763"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2023,"4,207,541"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2022,"4,380,225"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2021,"4,340,902"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2020,"4,068,529"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2019,"3,374,865"
Northeast  Region,Gateway NRA,National Recreation Area,2024,"8,929,035"
Northeast  Region,Gateway NRA,National Recreation Area,2023,"8,705,329"
Northeast  Region,Gateway NRA,National Recreation Area,2022,"8,728,291"
Northeast  Region,Gateway NRA,National Recreation Area,2021,"9,060,807"
Northeast  Region,Gateway NRA,National Recreation Area,2020,"8,404,728"
Northeast  Region,Gateway NRA,National Recreation Area,2019,"9,405,622"
Northeast  Region,Gauley River NRA,National Recreation Area,2024,"272,898"
Northeast  Region,Gauley River NRA,National Recreation Area,2023,"187,223"
Northeast  Region,Gauley River NRA,National Recreation Area,2022,"163,510"
Northeast  Region,Gauley River NRA,National Recreation Area,2021,"167,794"
Northeast  Region,Gauley River NRA,National Recreation Area,2020,"109,378"
Northeast  Region,Gauley River NRA,National Recreation Area,2019,"119,282"
Northeast  Region,New River Gorge NP & PRES,National Park,2024,"1,811,937"
Northeast  Region,New River Gorge NP & PRES,National Park,2023,"1,707,223"
Northeast  Region,New River Gorge NP & PRES,National Park,2022,"1,593,523"
Northeast  Region,New River Gorge NP & PRES,National Park,2021,"1,682,720"
Northeast  Region,New River Gorge NP & PRES,National Park,2020,"1,054,374"
Northeast  Region,New River Gorge NP & PRES,National Park,2019,"1,195,721"
Northeast  Region,Shenandoah NP,National Park,2024,"1,720,211"
Northeast  Region,Shenandoah NP,National Park,2023,"1,576,008"
Northeast  Region,Shenandoah NP,National Park,2022,"1,449,300"
Northeast  Region,Shenandoah NP,National Park,2021,"1,592,312"
Northeast  Region,Shenandoah NP,National Park,2020,"1,666,265"
Northeast  Region,Shenandoah NP,National Park,2019,"1,425,507"
Southeast  Region,Biscayne NP,National Park,2024,"512,213"
Southeast  Region,Biscayne NP,National Park,2023,"571,242"
Southeast  Region,Biscayne NP,National Park,2022,"701,023"
Southeast  Region,Biscayne NP,National Park,2021,"705,655"
Southeast  Region,Biscayne NP,National Park,2020,"402,770"
Southeast  Region,Biscayne NP,National Park,2019,"708,522"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2024,"2,940,804"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2023,"3,183,081"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2022,"3,537,848"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2021,"3,256,151"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2020,"3,066,877"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2019,"3,393,133"
Southeast  Region,Congaree NP,National Park,2024,"242,049"
Southeast  Region,Congaree NP,National Park,2023,"250,114"
Southeast  Region,Congaree NP,National Park,2022,"204,522"
Southeast  Region,Congaree NP,National Park,2021,"215,181"
Southeast  Region,Congaree NP,National Park,2020,"119,306"
Southeast  Region,Congaree NP,National Park,2019,"159,445"
Southeast  Region,Dry Tortugas NP,National Park,2024,"84,873"
Southeast  Region,Dry Tortugas NP,National Park,2023,"84,285"
Southeast  Region,Dry Tortugas NP,National Park,2022,"78,488"
Southeast  Region,Dry Tortugas NP,National Park,2021,"83,817"
Southeast  Region,Dry Tortugas NP,National Park,2020,"48,543"
Southeast  Region,Dry Tortugas NP,National Park,2019,"79,200"
Southeast  Region,Everglades NP,National Park,2024,"741,983"
Southeast  Region,Everglades NP,National Park,2023,"810,189"
Southeast  Region,Everglades NP,National Park,2022,"1,155,193"
Southeast  Region,Everglades NP,National Park,2021,"942,130"
Southeast  Region,Everglades NP,National Park,2020,"702,319"
Southeast  Region,Everglades NP,National Park,2019,"1,118,300"
Southeast  Region,Great Smoky Mountains NP,National Park,2024,"12,191,834"
Southeast  Region,Great Smoky Mountains NP,National Park,2023,"13,297,647"
Southeast  Region,Great Smoky Mountains NP,National Park,2022,"12,937,633"
Southeast  Region,Great Smoky Mountains NP,National Park,2021,"14,161,548"
Southeast  Region,Great Smoky Mountains NP,National Park,2020,"12,095,720"
Southeast  Region,Great Smoky Mountains NP,National Park,2019,"12,547,743"
Southeast  Region,Mammoth Cave NP,National Park,2024,"747,042"
Southeast  Region,Mammoth Cave NP,National Park,2023,"654,450"
Southeast  Region,Mammoth Cave NP,National Park,2022,"663,147"
Southeast  Region,Mammoth Cave NP,National Park,2021,"515,774"
Southeast  Region,Mammoth Cave NP,National Park,2020,"290,392"
Southeast  Region,Mammoth Cave NP,National Park,2019,"551,590"
Southeast  Region,Virgin Islands NP,National Park,2024,"423,029"
Southeast  Region,Virgin Islands NP,National Park,2023,"343,685"
Southeast  Region,Virgin Islands NP,National Park,2022,"196,752"
Southeast  Region,Virgin Islands NP,National Park,2021,"323,999"
Southeast  Region,Virgin Islands NP,National Park,2020,"167,540"
Southeast  Region,Virgin Islands NP,National Park,2019,"133,398"